Capacity: 100
Delivery points (x,y,z):
1000 1500 0
616 1164 12
434 410 20
79 1572 5
701 245 6
1095 1002 19
1865 1645 2
1535 1931 12
1146 1019 5
1569 764 6
1488 1610 10
1481 200 14
1172 1511 7
1778 1019 3
1768 1122 6
39 502 14
1402 1384 17
457 1527 7
534 1648 10
517 909 2
236 1198 19
886 995 2
410 1663 11
221 1702 11
1653 1841 5
1353 1794 12
1234 744 5
186 1616 14
529 1045 20
1659 1998 11
366 1441 6
757 1140 8
1418 1687 16
385 455 13
60 1481 11
595 779 1
547 369 12
591 1570 9
751 1124 9
1034 745 14
1595 1955 19
1525 454 1
295 400 6
1747 1019 5
1602 1433 14
890 455 6
1705 1359 15
1208 1258 14
643 1227 9
1790 982 20
935 65 11
563 1876 3
1101 393 18
898 607 8
221 1594 20
1224 687 12
671 1276 3
253 201 12
1638 627 9
849 1669 13
1931 204 3
1719 1818 7
487 1426 17
1749 1683 20
1821 1446 9
354 1295 9
1348 1764 5
424 1872 1
537 1907 12
135 928 6
1353 1276 12
882 1648 2
1476 923 18
1079 1065 13
488 1633 4
1290 406 12
1796 619 11
712 1418 20
480 1509 7
1475 1704 16
1510 140 20
869 1351 7
18 401 20
1196 206 13
1362 959 4
1290 1996 13
1556 394 10
1752 1999 15
1238 992 17
1536 349 9
1582 1298 6
1633 1216 16
837 835 20
376 350 15
710 321 14
211 1766 17
643 248 6
306 1753 18
1142 1793 16
212 1602 10
48 848 10
38 784 6
538 1852 12
1292 817 8
547 1720 15
1224 371 6
1416 583 16
1967 486 5
506 1840 20
1385 1273 20
1593 349 7
1501 1080 17
6 748 8
515 6 7
641 732 17
992 1034 2
1167 27 12
644 1025 8
343 250 4
183 1516 18
1179 1154 15
886 793 15
41 1107 13
1806 148 6
142 1224 19
296 667 11
142 1343 3
1143 1587 13
1173 1088 13
1860 832 12
264 973 9
36 1408 5
438 274 4
772 1388 1
1298 1707 11
961 1933 9
1737 1053 18
1063 218 6
1650 78 11
1222 1911 15
713 839 5
1763 1763 11
531 115 10
353 424 3
1499 1417 17
545 625 1
135 970 2
862 1659 4
1373 816 8
1863 889 19
837 894 16
1150 1685 13
1105 787 17
821 31 16
93 1344 6
397 1572 11
1521 1288 14
303 1 2
273 53 18
1157 350 11
1368 218 19
970 1349 14
1058 929 6
1115 1151 13
491 243 4
1090 340 20
19 300 16
98 1941 6
1623 1993 18
1144 503 8
1171 81 16
1507 533 6
1331 525 4
685 647 12
1174 659 5
1296 1532 8
1988 1325 2
1701 693 7
1465 165 12
169 154 7
1866 1940 19
717 1661 7
1453 1788 15
1508 1391 8
1728 522 1
125 1124 16
342 1599 6
1540 1696 7
153 263 19
1604 483 5
1388 1900 20
1180 1979 4
1649 1006 15
1142 1633 9
413 1261 6
1602 135 14
1698 1784 20
528 678 5
1873 767 2
291 483 7
1184 362 4
